group,rank,team_en,team_zh,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,status,notes,last_updated
A,1,Mexico,墨西哥,2,2,0,0,3,0,3,6,provisional,Knockout stage confirmed after R2 (group leader on 6pts).,2026-06-21
A,2,South Korea,韩国,2,1,0,1,2,2,0,3,provisional,,2026-06-21
A,3,Czechia,捷克,2,0,1,1,2,3,-1,1,provisional,,2026-06-21
A,4,South Africa,南非,2,0,1,1,1,3,-2,1,provisional,,2026-06-21
B,1,Canada,加拿大,2,1,1,0,7,1,6,4,provisional,Group B leader after R2; ahead of Switzerland on overall goal difference.,2026-06-21
B,2,Switzerland,瑞士,2,1,1,0,5,2,3,4,provisional,,2026-06-21
B,3,Bosnia and Herzegovina,波黑,2,0,1,1,2,5,-3,1,provisional,,2026-06-21
B,4,Qatar,卡塔尔,2,0,1,1,1,7,-6,1,provisional,,2026-06-21
C,1,Brazil,巴西,2,1,1,0,4,1,3,4,provisional,,2026-06-21
C,2,Morocco,摩洛哥,2,1,1,0,2,1,1,4,provisional,,2026-06-21
C,3,Scotland,苏格兰,2,1,0,1,1,1,0,3,provisional,,2026-06-21
C,4,Haiti,海地,2,0,0,2,0,4,-4,0,provisional,,2026-06-21
D,1,USA,美国,2,2,0,0,6,1,5,6,provisional,,2026-06-21
D,2,Australia,澳大利亚,2,1,0,1,2,2,0,3,provisional,,2026-06-21
D,3,Paraguay,巴拉圭,2,1,0,1,2,4,-2,3,provisional,,2026-06-21
D,4,Turkey,土耳其,2,0,0,2,0,3,-3,0,provisional,,2026-06-21
E,1,Germany,德国,2,2,0,0,9,2,7,6,provisional,,2026-06-21
E,2,Ivory Coast,科特迪瓦,2,1,0,1,2,2,0,3,provisional,,2026-06-21
E,3,Ecuador,厄瓜多尔,2,0,1,1,0,1,-1,1,provisional,,2026-06-21
E,4,Curacao,库拉索,2,0,1,1,1,7,-6,1,provisional,,2026-06-21
F,1,Netherlands,荷兰,2,1,1,0,7,3,4,4,provisional_fair_play,,2026-06-21
F,2,Japan,日本,2,1,1,0,6,2,4,4,provisional_fair_play,,2026-06-21
F,3,Sweden,瑞典,2,1,0,1,6,6,0,3,provisional,,2026-06-21
F,4,Tunisia,突尼斯,2,0,0,2,1,9,-8,0,provisional,,2026-06-21
G,1,New Zealand,新西兰,1,0,1,0,2,2,0,1,provisional,,2026-06-21
G,2,Iran,伊朗,1,0,1,0,2,2,0,1,provisional,,2026-06-21
G,3,Belgium,比利时,1,0,1,0,1,1,0,1,provisional,Fair-play tie (-2); ahead on FIFA ranking (9).,2026-06-21
G,4,Egypt,埃及,1,0,1,0,1,1,0,1,provisional,,2026-06-21
H,1,Uruguay,乌拉圭,1,0,1,0,1,1,0,1,provisional,,2026-06-21
H,2,Saudi Arabia,沙特,1,0,1,0,1,1,0,1,provisional,Fair-play tie (-1); ahead on FIFA ranking (57).,2026-06-21
H,3,Spain,西班牙,1,0,1,0,0,0,0,1,provisional,Fair-play tie (-1); ahead on FIFA ranking (8).,2026-06-21
H,4,Cape Verde,佛得角,1,0,1,0,0,0,0,1,provisional,,2026-06-21
I,1,Norway,挪威,1,1,0,0,4,1,3,3,provisional,,2026-06-21
I,2,France,法国,1,1,0,0,3,1,2,3,provisional,,2026-06-21
I,3,Senegal,塞内加尔,1,0,0,1,1,3,-2,0,provisional,,2026-06-21
I,4,Iraq,伊拉克,1,0,0,1,1,4,-3,0,provisional,,2026-06-21
J,1,Argentina,阿根廷,1,1,0,0,3,0,3,3,provisional,,2026-06-21
J,2,Austria,奥地利,1,1,0,0,3,1,2,3,provisional,,2026-06-21
J,3,Jordan,约旦,1,0,0,1,1,3,-2,0,provisional,,2026-06-21
J,4,Algeria,阿尔及利亚,1,0,0,1,0,3,-3,0,provisional,,2026-06-21
K,1,Colombia,哥伦比亚,1,1,0,0,3,1,2,3,provisional,,2026-06-21
K,2,DR Congo,刚果金,1,0,1,0,1,1,0,1,provisional,,2026-06-21
K,3,Portugal,葡萄牙,1,0,1,0,1,1,0,1,provisional,,2026-06-21
K,4,Uzbekistan,乌兹别克斯坦,1,0,0,1,1,3,-2,0,provisional,,2026-06-21
L,1,England,英格兰,1,1,0,0,4,2,2,3,provisional,,2026-06-21
L,2,Ghana,加纳,1,1,0,0,1,0,1,3,provisional,,2026-06-21
L,3,Panama,巴拿马,1,0,0,1,0,1,-1,0,provisional,,2026-06-21
L,4,Croatia,克罗地亚,1,0,0,1,2,4,-2,0,provisional,,2026-06-21
